Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado
1,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,999,COBERTURA ESTATAL,"CONSTRUCCIÓN DE 34 TECHUMBRES DE CANCHAS DE USOS MÚLTIPLES (2 TECHUMBRES POR CADA MUNICIPIO), EN TABASCO","40,800,000"
2,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,15,TACOTALPA,"CONSTRUCCIÓN DE PUENTE DE CONCRETO, EN EL KM. 1+680, DEL CAMINO: OXOLOTÁN - TOMÁS GARRIDO, EN EL MUNICIPIO DE TACOTALPA, TABASCO","6,500,000"
3,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE PUENTE VEHÍCULAR DE CONCRETO ARMADO ""TIERRA COLORADA I"", EN EL CAMINO: VILLAHERMOSA - NACAJUCA, KM. 0+000, EN EL MUNICIPIO DE CENTRO, TABASCO","70,000,000"
4,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,999,"BALANCÁN, CENTRO, CUNDUACÁN,  EMILIANO ZAPATA, HUIMANGUILLO, JALPA, JONUTA, MACUSPANA Y NACAJUCA","CONSTRUCCIÓN Y EQUIPAMIENTO DE 16 CENTROS DE SALUD DE 1 NÚCLEO BÁSICO, EN DIVERSOS MUNICIPIOS DEL ESTADO DE TABASCO","62,400,000"
5,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,2,CÁRDENAS,"CONSTRUCCIÓN DE EDIFICIO PARA 12 AULAS, DIRECCIÓN, SERVICIO SANITARIO, SALA DE USOS MULTIPLES EN ESTRUCTURA U-2C POR SUSTITUCIÓN Y OBRA EXTERIOR, EN EL MUNICIPIO DE CÁRDENAS, TABASCO","11,060,562"
6,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCION DE EDIFICIO PARA 12 AULAS Y ADMINSITRACIÓN EN ESTRUCTURA TIPO U-2C POR SUSTITUCIÓN, SUBESTACIÓN ELÉCTRICA DE 112.5 KVA Y OBRA EXTERIOR, EN EL MUNICIPIO DE CENTRO, TABASCO","18,212,615"
7,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,10,JALPA DE MÉNDEZ,"CONSTRUCCIÓN DE EDIFICIO PARA 6 AULAS DIDÁCTICAS EN ESTRUCTURA U-2C, ESCALERA Y OBRA EXTERIOR, EN EL MUNICIPIO DE JALPA DE MÉNDEZ, TABASCO","4,661,323"
8,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE CANCHA DE FUTBOL PROFESIONAL DE PASTO SINTÉTICO DE 64.00 X 100.00 MTS. EN LA CIUDAD DEPORTIVA, EN EL MUNICIPIO DE CENTRO, TABASCO","11,000,000"
9,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN Y EQUIPAMIENTO DE GIMNASIO AL AIRE LIBRE EN LA CIUDAD DEPORTIVA DE LA COL. 1RO. DE MAYO, EN EL MUNICIPIO DE CENTRO, TABASCO","2,500,000"
10,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE PASO SUPERIOR VEHICULAR (PSV) ENTRONQUE CIRCUITO INTERIOR CARLOS PELLICER CÁMARA - CARRETERA RIO VIEJO (SORIANA SAN JOAQUÍN), EN EL MUNICIPIO DE CENTRO, TABASCO","70,000,000"
11,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,999,"PARAÍSO, CENTLA Y CUNDUACÁN","CONSTRUCCIÓN Y EQUIPAMIENTO DE 3 CENTROS DE SALUD DE 2 NÚCLEOS BÁSICOS, EN LOS MUNICIPIOS DE PARAÍSO, CENTLA Y CUNDUACÁN, TABASCO","14,100,000"
12,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,2,CÁRDENAS,"CONSTRUCCIÓN Y EQUIPAMIENTO DE 1 CENTRO DE SALUD DE 3 NÚCLEOS BÁSICOS, EN EL MUNICIPIO DE CÁRDENAS, TABASCO","5,600,000"
13,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,16,TEAPA,"CONSTRUCCIÓN DE PUENTE VEHÍCULAR DE CONCRETO ""PUYACATENGO"", EN EL CAMINO: TEAPA - TACOTALPA, KM. 1+820, EN EL MUNICIPIO DE TEAPA, TABASCO","18,000,000"
14,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,16,TEAPA,"AMPLIACIÓN A 12.00 M. DEL CAMINO: TEAPA - TACOTALPA, TRAMO: PUENTE ""PUYACATENGO"" - TECNOLÓGICO, DEL KM. 1+870 AL KM. 4+400, EN EL MUNICIPIO DE TEAPA, TABASCO","27,500,000"
15,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,10,JALPA DE MÉNDEZ,"CONSTRUCCIÓN DE PUENTE VEHÍCULAR MIXTO, DEL CAMINO: POB. AYAPA - SOYATACO, KM. 1+100 (SECTOR ENSENADA), DEL ESTADO DE TABASCO","4,785,500"
16,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,6,CUNDUACÁN,"CONSTRUCCIÓN DE PUENTE DE CONCRETO, EN EL CAMINO: R/A. CUMUAPA 1RA. SECCIÓN - LA RATONERA, KM. 3+700, EN EL MUNICIPIO DE CUNDUACÁN, TABASCO","10,530,000"
17,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE PASO SUPERIOR VEHICULAR (PSV) ENTRONQUE CIRCUITO INTERIOR CARLOS PELLICER CÁMARA - CARRETERA MIGUEL HIDALGO (HOSPITAL JUAN GRAHAM), EN EL MUNICIPIO DE CENTRO, TABASCO","70,000,000"
18,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,16,TEAPA,"AMPLIACIÓN A 12.00 M. DEL CAMINO: TEAPA - TACOTALPA, TRAMO: TEAPA - PUENTE ""PUYACATENGO"", DEL KM. 0+000 AL KM. 1+820, EN EL MUNICIPIO DE TEAPA, TABASCO","25,300,000"
19,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE GIMNASIO POLIFUNCIONAL EN DOS NIVELES DE HALTEROFILIA (LEVANTAMIENTO DE PESAS) Y SALÓN DE ESGRIMA UBICADO EN LA CIUDAD DEPORTIVA DE LA COL. PRIMERO DE MAYO, EN EL MUNICIPIO DE CENTRO, TABASCO","18,050,000"
20,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE TECHADO EN CANCHA 7 CONSTRUCCIÓN DE GRADAS DE CONCRETO EN CANCHA 4 Y 7, REHABILITACIÓN DE ALUMBRADO DE BASQUETBOL DE LA CIUDAD DEPORTIVA, DE LA COLONIA 1RO. DE MAYO, DEL ESTADO DE TABASCO","9,000,000"
21,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"CENTRO CULTURAL TOMA DE ZACATECAS 2DA ETAPA, ZACATECAS, ZACATECAS","90,000,000"
22,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"REORDENAMIENTO DE LA INFRAESTRUCTURA DE LAS INSTALACIONES FENAZA, ZACATECAS, ZACATECAS","70,000,000"
23,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,10,FRESNILLO,"CENTRO DE SERVICIOS DE ATENCIÓN A LA CIUDADANIA, FRESNILLO, ZACATECAS","200,000,000"
24,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"REACONDICIONAMIENTO AV. HIDALGO, ZACATECAS, ZACATECAS","40,000,000"
25,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"INFRAESTRUCTURA Y EQUIPAMIENTO DEL SISTEMA ZACATECANO RADIO Y TELEVISIÓN, ZACATECAS, ZACATECAS","60,000,000"
26,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,19,JALPA,"OBRAS COMPLEMENTARIAS CÉLULA INDUSTRIAL, JALPA, ZACATECAS","2,950,000"
27,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,36,OJOCALIENTE,"CONSTRUCCIÓN ARCO DE ACCESO EN CARRETERA FEDERAL, OJOCALIENTE, ZACATECAS","1,500,000"
28,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"CONSTRUCCIÓN CENTRO MULTIDICIPLINARIO COL. LAS PALMAS 2DA. ETAPA, ZACATECAS, ZACATECAS","1,350,000"
29,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"CONSTRUCCIÓN Y EQUIPAMIENTO DE VELÓDROMO 2DA ETAPA, ZACATECAS, ZACATECAS","10,000,000"
30,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,56,ZACATECAS,"CONSTRUCCIÓN Y EQUIPAMIETO CENTRO DE LECTURA ""AMPARO DÁVILA"", ZACATECAS, ZACATECAS","7,000,000"
31,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,999,COBERTURA ESTATAL,PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN EL ESTADO DE ZACATECAS,"17,200,000"
32,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,33,TLAXCALA,"CONSTRUCCIÓN DEL DRENAJE PLUVIAL DE LA CIUDAD DE TLAXCALA, EN TLAXCALA, TLAXCALA","138,200,000"
33,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,999,"APIZACO, YAUHQUEMEHCAN","MODERNIZACIÓN DE AVENIDA INDEPENDENCIA, EN APIZACO Y YAUHQUEMEHCAN, TLAXCALA","30,000,000"
34,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,999,"APIZACO, YAUHQUEMEHCAN","REHABILITACIÓN DE PLANTA DE TRATAMIENTO APIZACO B, EN APIZACO Y YAUHQUEMEHCAN, TLAXCALA","93,000,000"
35,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,5,APIZACO,"MODERNIZACIÓN DE AVENIDA CUAUHTÉMOC, EN APIZACO, TLAXCALA","77,000,000"
36,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,19,TEPETITLA DE LARDIZÁBAL,"AMPLIACIÓN DE PUENTE VEHICULAR EN CARRETERA FEDERAL VILL ALTA-TEPETITLA, SOBRE RÍO ATOYAC, TLAXCALA","14,900,000"
37,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,999,COBERTURA ESTATAL,INFRAESTRUCTURA VIAL EN EL ESTADO DE HIDALGO,"50,000,000"
38,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,48,PACHUCA DE SOTO,"CONSTRUCCIÓN DEL CUARTEL GENERAL DE SEGURIDAD PÚBLICA DE HIDALGO, PACHUCA DE SOTO, HIDALGO","50,000,000"
39,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,48,PACHUCA DE SOTO,"PUENTE ELEVADO RÍO DE LAS AVENIDAS, JAVIER ROJO GÓMEZ, EN EL MUNICIPIO DE PACHUCA DE SOTO, HIDALGO","100,000,000"
40,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,999,COBERTURA ESTATAL,"CIUDAD DEL CONOCIMIENTO Y LA CULTURA, EN EL ESTADO DE HIDALGO","250,000,000"
