Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado,Pagado,
1,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,5,ACTEOPAN,"ADOQUINAMIENTO DE LA CALLE LÁZARO CÁRDENAS Y CALLE MORELOS, EN EL MUNICIPIO DE ACTEOPAN, EN EL ESTADO DE PUEBLA","759,577.00", -   ,
2,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,69,HUAQUECHULA,"ADOQUINAMIENTO DE LA CALLE MAESTRO RAMÍREZ NÚMERO 2, EN EL MUNICIPIO DE HUAQUECHULA, EN EL ESTADO DE PUEBLA","1,954,356.00", -   ,
3,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,70,HUATLATLAUCA,"ADOQUINAMIENTO DE LA CALLE MANUEL ÁVILA CAMACHO ENTRE CALLE REFORMA Y CALLE INDEPENDENCIA, EN EL MUNICIPIO DE HUATLATLAUCA, EN EL ESTADO DE PUEBLA","1,006,327.00", -   ,
4,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,193,TZICATLACOYAN,"ADOQUINAMIENTO DE LA CALLE NICOLÁS BRAVO ENTRE CALLE REFORMA Y ORIENTE Y CALLE GALEANA ORIENTE ENTRE CALLE NICOLÁS BRAVO Y CALLE MÁXIMO ÁVILA CAMACHO, EN EL MUNICIPIO DE TZICATLACOYAN, EN EL ESTADO DE PUEBLA","1,069,667.00", -   ,
5,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,148,SANTA ISABEL CHOLULA,"ADOQUINAMIENTO DE LA CALLE VENADITO ENTRE CALLE SIN HOMBRE Y CARRETERA FEDERAL ATLIXCO, EN EL MUNICIPIO DE SANTA ISABEL CHOLULA, EN EL ESTADO DE PUEBLA","2,000,000.00", -   ,
6,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,97,TLAJOMULCO DE ZÚÑIGA,"AMPLIACIÓN A CUATRO CARRILES DE LA AVENIDA ADOLF B. HORN, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO.","17,309,706.00", -   ,
7,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACIÓN DE LA RED DE DRENAJE EN LA CALLE PRIVADA ABASOLO EN LA COMUNIDAD DE GACHUPINES, EN EL MUNICIPIO DE OCAMPO, EN EL ESTADO DE GUANAJUATO","601,828.00", -   ,
8,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,15,SAN JOAQUÍN,"ANDADOR DE LOS HERRERA A LA CARRETERA MUNICIPAL, EN EL MUNICIPIO DE SAN JOAQUÍN, EN EL ESTADO DE QUERÉTARO","5,609,296.00", -   ,
9,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,3,CENTLA,"BOULEVARD JOSÉ MARÍA PINO SUÁREZ EN EL MUNICIPIO DE CENTLA, EN EL ESTADO DE TABASCO","18,000,000.00", -   ,
10,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,9999,COBERTURA ESTATAL,BOULEVARD LÁZARO CÁRDENAS SAHUAYO - JIQUILPAN EN EL ESTADO DE MICHOACÁN,"100,000,000.00", -   ,
11,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE ÁLVARO OBREGÓN ENTRE CALLE PRIV ÁLVARO OBREGÓN Y CALLE ANTONIO PLAZA DE LA COLONIA EMILIANO ZAPATA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","447,793.00", -   ,
12,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE AVENIDA DEL DÓLAR ENTRE CALLE JUAN DE LA LUZ ENRIQUEZ Y CALLE PROL. DEL NOGAL DE LA COLONIA DEL BOSQUE, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,735,513.00", -   ,
13,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE CAMPECHE ENTRE CALLE DURANGO Y CALLE VIOLETAS DE LA COLONIA LUIS DONALDO COLOSIO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,362,868.00", -   ,
14,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE CENTRAL ENTRE CALLE DEL CEDRO Y CALLE DEL ABETO DE LA COLONIA TERESA MORALES, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","589,648.00", -   ,
15,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE CHIAPAS ENTRE CALLE DURANGO Y CALLE VIOLETAS DE LA COLONIA LUIS DONALDO COLOSIO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,230,568.00", -   ,
16,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE DE LA MARGARITA ENTRE CALLE MANUEL ACUÑA Y CALLE DE LA ROSA DE LA COLONIA JARDINES DE AMADO NERVO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,007,128.00", -   ,
17,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE DEL CEDRO ENTRE CALLE DEL OLMO Y CALLE ANTONIO PLAZA DE LA COLONIA TERESA MORALES, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,642,462.00", -   ,
