Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Ireland,2007,ERDF,7507247.4,7507247.4,0,2
Estonia,2007,CF,28793286.2,28793286.2,0,2.5
United Kingdom,2007,ERDF,108320394.7,108320394.7,0,2
Bulgaria,2007,CF,57075904.1,57075904.1,0,2.5
Austria,2007,ERDF,13601320.4,13601320.4,0,2.1
Austria,2007,TOTAL,24089571.6,24089571.6,0,2.1
Netherlands,2007,ESF,16600054.7,16600054.7,0,2
Cyprus,2007,CF,5330112.1,5330112.1,0,2.5
Romania,2007,ERDF,179529321.3,179529321.3,0,2
Hungary,2007,ERDF,252994876.6,252994876.6,0,2
Lithuania,2007,CF,57630893.6,57630893.6,0,2.5
Belgium,2007,ERDF,14155364.8,14155364.8,0,1.4
Finland,2007,ESF,12371281.3,12371281.3,0,2
Malta,2007,TOTAL,18223186.1,18223186.1,0,2.2
United Kingdom,2007,TOTAL,197818749.3,197818749.3,0,2
Lithuania,2007,ESF,20566134.5,20566134.5,0,2
Romania,2007,TOTAL,417022849.4,417022849.4,0,2.2
Ireland,2007,ESF,7507247.4,7507247.4,0,2
Croatia,2007,CF,0,0,0,0
Lithuania,2007,TOTAL,147036035.2,147036035.2,0,2.2
Finland,2007,TOTAL,31919320.9,31919320.9,0,2
Poland,2007,TOTAL,1400802683.4,1400802683.4,0,2.1
Ireland,2007,TOTAL,15014494.8,15014494.8,0,2
Germany,2007,TOTAL,509772325.8,509772325.8,0,2
Spain,2007,TOTAL,693154679.6,693154679.6,0,2
Czech republic,2007,TOTAL,367997131,367997131,0,1.4
Hungary,2007,TOTAL,541634553.1,541634553.1,0,2.2
EU28,2007,ESF,1513921430.3,1513921430.3,0,2
Netherlands,2007,TOTAL,33200054.7,33200054.7,0,2
France,2007,TOTAL,211145914.7,211145914.7,0,1.6
Latvia,2007,TOTAL,98307835.4,98307835.4,0,2.2
Sweden,2007,TOTAL,32521837.8,32521837.8,0,2
Denmark,2007,TOTAL,10191544.8,10191544.8,0,2
Portugal,2007,TOTAL,426509451.5,426509451.5,0,2
Sweden,2007,ESF,13831023.2,13831023.2,0,2
Spain,2007,ESF,161146576.4,161146576.4,0,2
Luxembourg,2007,TOTAL,504873.3,504873.3,0,1
United Kingdom,2007,ESF,89498354.6,89498354.6,0,2
Cyprus,2007,TOTAL,13314722.3,13314722.3,0,2.2
Greece,2007,TOTAL,401029220.8,401029220.8,0,2
Slovakia,2007,TOTAL,246706091.8,246706091.8,0,2.1
Bulgaria,2007,TOTAL,144887745.7,144887745.7,0,2.2
Croatia,2007,ESF,0,0,0,0
Slovenia,2007,TOTAL,89078822,89078822,0,2.2
Luxembourg,2007,ERDF,0,0,0,0
Belgium,2007,TOTAL,35619716.7,35619716.7,0,1.7
Croatia,2007,ERDF,0,0,0,0
Italy,2007,TOTAL,470862990,470862990,0,1.7
EU28,2007,TOTAL,6652194256.7,6652194256.6,0,2
Estonia,2007,TOTAL,73827854.9,73827854.8,0,2.2
Germany,2007,ESF,187613095.3,187613095.3,0,2
Bulgaria,2007,ESF,23709197.3,23709197.3,0,2
Poland,2007,ESF,194143520,194143520,0,1.9
Hungary,2007,CF,216057905.4,216057905.4,0,2.5
Slovenia,2007,CF,35289246.4,35289246.4,0,2.5
Slovenia,2007,ERDF,38675588.2,38675588.2,0,2
Sweden,2007,ERDF,18690814.6,18690814.6,0,2
Croatia,2007,TOTAL,0,0,0,0
Estonia,2007,ESF,7830346.6,7830346.6,0,2
Czech republic,2007,ESF,75490428.6,75490428.6,0,2.1
Netherlands,2007,ERDF,16600000,16600000,0,2
Belgium,2007,ESF,21464351.9,21464351.9,0,2
Czech republic,2007,ERDF,177415763.6,177415763.6,0,1.3
Romania,2007,ESF,73682952.4,73682952.4,0,2
Bulgaria,2007,ERDF,64102644.3,64102644.3,0,2
Greece,2007,CF,73943217.3,73943217.3,0,2
Luxembourg,2007,ESF,504873.3,504873.3,0,2
