Датум на објавување;Број раздел;Назив раздел;Сметка;Број потпрограма;Назив потпрограма;Категорија;Назив категорија;Ставка;Назив ставка;Буџет
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;17299000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;6398000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;13700000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;11000000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;1900000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;1350000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;425;Договорни услуги;6280000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;9890000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;46;СУБВЕНЦИИ И ТРАНСФЕРИ;464;Разни трансфери;240000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;48;КАПИТАЛНИ РАСХОДИ;480;Купување на опрема и машини;400000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;48;КАПИТАЛНИ РАСХОДИ;481;Градежни објекти;500000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;48;КАПИТАЛНИ РАСХОДИ;483;Купување на мебел;600000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;ПРЕТСЕДАТЕЛ НА РМ;48;КАПИТАЛНИ РАСХОДИ;485;Вложувања и нефинансиски средства;200000
